box_id,sortie_id,zone_id,deliver_s,deliver_offset_s,expected_s,hard_deadline_s,hard_slack_s,category,mass_kg,priority,soft_tardiness_s
S003-WAT-03,F15,S003,6371.205,1724.205,7200.0,,,饮用水,14.0,10.0,0.0
S002-HYG-01,F16,S002,6131.947,1161.947,10800.0,,,生活卫生用品,6.0,8.0,0.0
S002-FOD-02,F16,S002,6131.947,1161.947,7200.0,,,应急食品,8.0,10.0,0.0
S004-MED-01,F17,S004,7146.675,1590.675,7200.0,7200.0,53.325,医疗物资,3.0,20.0,0.0
S004-WAT-01,F17,S004,7146.675,1590.675,7200.0,7200.0,53.325,饮用水,14.0,10.0,0.0
S004-HYG-01,F17,S004,7146.675,1590.675,14400.0,,,生活卫生用品,6.0,6.0,0.0
S004-FOD-01,F17,S004,7146.675,1590.675,10800.0,,,应急食品,8.0,8.0,0.0
S004-WAT-03,F17,S004,7146.675,1590.675,7200.0,,,饮用水,14.0,10.0,0.0
S004-WAT-02,F17,S004,7146.675,1590.675,7200.0,,,饮用水,14.0,10.0,0.0
S008-MED-01,F18,S008,7086.277,1291.277,7200.0,7200.0,113.723,医疗物资,3.0,20.0,0.0
S008-WAT-01,F18,S008,7086.277,1291.277,7200.0,7200.0,113.723,饮用水,14.0,10.0,0.0
S008-FOD-01,F18,S008,7086.277,1291.277,10800.0,,,应急食品,8.0,8.0,0.0
S011-MED-01,F19,S011,7740.398,906.398,10800.0,10800.0,3059.602,医疗物资,3.0,16.0,0.0
S011-WAT-01,F19,S011,7740.398,906.398,10800.0,10800.0,3059.602,饮用水,14.0,8.0,0.0
S011-FOD-01,F19,S011,7740.398,906.398,14400.0,,,应急食品,8.0,6.0,0.0
S009-MED-01,F20,S009,8848.811,1090.811,10800.0,10800.0,1951.189,医疗物资,3.0,16.0,0.0
S009-WAT-01,F20,S009,8848.811,1090.811,10800.0,10800.0,1951.189,饮用水,14.0,8.0,0.0
S009-FOD-01,F20,S009,8848.811,1090.811,14400.0,,,应急食品,8.0,6.0,0.0
S001-HYG-01,F21,S001,9286.508,865.508,10800.0,,,生活卫生用品,6.0,8.0,0.0
S001-HYG-02,F21,S001,9286.508,865.508,10800.0,,,生活卫生用品,6.0,8.0,0.0
