box_id,sortie_id,zone_id,deliver_s,deliver_offset_s,expected_s,hard_deadline_s,hard_slack_s,category,mass_kg,priority,soft_tardiness_s
S001-WAT-06,F15,S001,2995.408,856.408,3600.0,,,饮用水,14.0,12.0,0.0
S007-HYG-01,F16,S007,3225.718,1086.718,10800.0,,,生活卫生用品,6.0,8.0,0.0
S003-FOD-01,F17,S003,4425.64,1419.64,10800.0,,,应急食品,8.0,8.0,0.0
S003-FOD-02,F17,S003,4425.64,1419.64,10800.0,,,应急食品,8.0,8.0,0.0
S008-WAT-02,F18,S008,4520.929,1305.929,7200.0,,,饮用水,14.0,10.0,0.0
S009-MED-01,F19,S009,4517.811,1090.811,10800.0,10800.0,6282.189,医疗物资,3.0,16.0,0.0
S009-WAT-01,F19,S009,4517.811,1090.811,10800.0,10800.0,6282.189,饮用水,14.0,8.0,0.0
S009-FOD-01,F19,S009,4517.811,1090.811,14400.0,,,应急食品,8.0,6.0,0.0
S015-MED-01,F20,S015,4687.186,1222.186,7200.0,7200.0,2512.814,医疗物资,3.0,18.0,0.0
S015-WAT-01,F20,S015,4687.186,1222.186,10800.0,10800.0,6112.814,饮用水,14.0,8.0,0.0
S015-FOD-01,F20,S015,4687.186,1222.186,14400.0,,,应急食品,8.0,6.0,0.0
S005-MED-01,F21,S005,5186.233,1361.233,10800.0,10800.0,5613.767,医疗物资,3.0,16.0,0.0
S005-WAT-01,F21,S005,5186.233,1361.233,10800.0,10800.0,5613.767,饮用水,14.0,8.0,0.0
S005-HYG-01,F21,S005,5186.233,1361.233,18000.0,,,生活卫生用品,6.0,4.0,0.0
S005-FOD-01,F21,S005,5186.233,1361.233,14400.0,,,应急食品,8.0,6.0,0.0
S008-MED-01,F21,S008,5831.402,2006.402,7200.0,7200.0,1368.598,医疗物资,3.0,20.0,0.0
S008-WAT-01,F21,S008,5831.402,2006.402,7200.0,7200.0,1368.598,饮用水,14.0,10.0,0.0
S008-HYG-01,F21,S008,5831.402,2006.402,14400.0,,,生活卫生用品,6.0,6.0,0.0
S008-FOD-01,F21,S008,5831.402,2006.402,10800.0,,,应急食品,8.0,8.0,0.0
S004-MED-01,F22,S004,5620.675,1590.675,7200.0,7200.0,1579.325,医疗物资,3.0,20.0,0.0
S004-WAT-01,F22,S004,5620.675,1590.675,7200.0,7200.0,1579.325,饮用水,14.0,10.0,0.0
S004-HYG-01,F22,S004,5620.675,1590.675,14400.0,,,生活卫生用品,6.0,6.0,0.0
S004-FOD-01,F22,S004,5620.675,1590.675,10800.0,,,应急食品,8.0,8.0,0.0
S004-WAT-03,F22,S004,5620.675,1590.675,7200.0,,,饮用水,14.0,10.0,0.0
S004-WAT-02,F22,S004,5620.675,1590.675,7200.0,,,饮用水,14.0,10.0,0.0
S005-WAT-02,F23,S005,6026.844,1040.844,10800.0,,,饮用水,14.0,8.0,0.0
S005-WAT-03,F23,S005,6026.844,1040.844,10800.0,,,饮用水,14.0,8.0,0.0
S011-MED-01,F24,S011,6224.398,906.398,10800.0,10800.0,4575.602,医疗物资,3.0,16.0,0.0
S011-WAT-01,F24,S011,6224.398,906.398,10800.0,10800.0,4575.602,饮用水,14.0,8.0,0.0
S011-FOD-01,F24,S011,6224.398,906.398,14400.0,,,应急食品,8.0,6.0,0.0
